Genome:GRCm38_GENCODE	Restriction_Enzyme1:HindIII [A^AGCTT]	Restriction_Enzyme2:None	Hicup digester version 0.5.9
Chromosome	Fragment_Start_Position	Fragment_End_Position	Fragment_Number	RE1_Fragment_Number	5'_Restriction_Site	3'_Restriction_Site
chr1	1	3004105	1	1	None	Re1
chr1	3004106	3005820	2	2	Re1	Re1
chr1	3005821	3008316	3	3	Re1	Re1
chr1	3008317	3008894	4	4	Re1	Re1
chr1	3008895	3009813	5	5	Re1	Re1
chr1	3009814	3012423	6	6	Re1	Re1
chr1	3012424	3015795	7	7	Re1	Re1
chr1	3015796	3016184	8	8	Re1	Re1
chr1	3016185	3024020	9	9	Re1	Re1
chr1	3024021	3025280	10	10	Re1	Re1
chr1	3025281	3027392	11	11	Re1	Re1
chr1	3027393	3029516	12	12	Re1	Re1
chr1	3029517	3031423	13	13	Re1	Re1
chr1	3031424	3032371	14	14	Re1	Re1
chr1	3032372	3036473	15	15	Re1	Re1
chr1	3036474	3036489	16	16	Re1	Re1
chr1	3036490	3042167	17	17	Re1	Re1
chr1	3042168	3044759	18	18	Re1	Re1
chr1	3044760	3047694	19	19	Re1	Re1
chr1	3047695	3048415	20	20	Re1	Re1
chr1	3048416	3049940	21	21	Re1	Re1
chr1	3049941	3054051	22	22	Re1	Re1
chr1	3054052	3065865	23	23	Re1	Re1
chr1	3065866	3071758	24	24	Re1	Re1
chr1	3071759	3075699	25	25	Re1	Re1
chr1	3075700	3076428	26	26	Re1	Re1
chr1	3076429	3079650	27	27	Re1	Re1
chr1	3079651	3081931	28	28	Re1	Re1
chr1	3081932	3082150	29	29	Re1	Re1
chr1	3082151	3088703	30	30	Re1	Re1
chr1	3088704	3089094	31	31	Re1	Re1
chr1	3089095	3089519	32	32	Re1	Re1
chr1	3089520	3095345	33	33	Re1	Re1
chr1	3095346	3098958	34	34	Re1	Re1
chr1	3098959	3100831	35	35	Re1	Re1
chr1	3100832	3102475	36	36	Re1	Re1
chr1	3102476	3107294	37	37	Re1	Re1
chr1	3107295	3107686	38	38	Re1	Re1
